loc_rowid,pl_hostname,pl_letter,pl_bmassj,pl_radj
12,2MASS J02192210-3925225,b,13.9,1.44
16,2MASS J21402931+1625183 A,b,20.95,0.92
29,55 Cnc,e,0.02542,0.17
49,BD+20 594,b,0.07,0.23
63,CT Cha,b,17,2.2
64,CoRoT-1,b,1.03,1.49
65,CoRoT-10,b,2.75,0.97
66,CoRoT-11,b,2.33,1.43
67,CoRoT-12,b,0.917,1.44
68,CoRoT-13,b,1.308,0.885
69,CoRoT-14,b,7.6,1.09
70,CoRoT-16,b,0.535,1.17
71,CoRoT-17,b,2.43,1.02
72,CoRoT-18,b,3.47,1.31
73,CoRoT-19,b,1.11,1.29
74,CoRoT-2,b,3.47,1.466
75,CoRoT-20,b,4.24,0.84
76,CoRoT-22,b,0.038,0.435
77,CoRoT-23,b,2.8,1.05
78,CoRoT-24,b,0.018,0.33
79,CoRoT-24,c,0.088,0.44
80,CoRoT-25,b,0.27,1.08
81,CoRoT-26,b,0.52,1.26
82,CoRoT-27,b,10.39,1.007
83,CoRoT-28,b,0.484,0.955
84,CoRoT-29,b,0.85,0.9
85,CoRoT-3,b,21.66,1.01
86,CoRoT-4,b,0.72,1.19
87,CoRoT-5,b,0.467,1.388
88,CoRoT-6,b,2.96,1.166
89,CoRoT-7,b,0.01,0.15
91,CoRoT-8,b,0.22,0.57
92,CoRoT-9,b,0.84,1.066
93,CoRoTID 223977153,b,0.15,0.57
98,EPIC 211945201,b,0.08495,0.546
99,EPIC 220674823,b,0.02832,0.162
100,EPIC 220674823,c,0.01793,0.247
103,GJ 1132,b,0.00513,0.128
106,GJ 1214,b,0.0197,0.254
126,GJ 3470,b,0.043,0.346
132,GJ 436,b,0.07,0.372
162,GQ Lup,b,20,3
164,GU Psc,b,11.3,1.265
165,HAT-P-1,b,0.525,1.319
166,HAT-P-11,b,0.09,0.43
167,HAT-P-12,b,0.211,0.959
168,HAT-P-13,b,0.851,1.272
170,HAT-P-14,b,3.44,1.42
171,HAT-P-15,b,1.94,1.06
172,HAT-P-16,b,4.193,1.289
173,HAT-P-17,b,0.58,1.05
175,HAT-P-18,b,0.197,0.995
176,HAT-P-19,b,0.292,1.132
177,HAT-P-2,b,11.43,1.2
178,HAT-P-20,b,7.246,0.867
179,HAT-P-21,b,4.87,1.11
180,HAT-P-22,b,2.47,1.15
181,HAT-P-23,b,1.34,1.09
182,HAT-P-24,b,0.75,1.3
183,HAT-P-25,b,0.567,1.19
184,HAT-P-26,b,0.07,0.63
185,HAT-P-27,b,0.62,1.02
186,HAT-P-28,b,0.626,1.212
187,HAT-P-29,b,0.88,1.17
188,HAT-P-3,b,0.65,0.94
189,HAT-P-30,b,0.83,1.44
190,HAT-P-31,b,2.27,1.09
191,HAT-P-32,b,0.83,1.75
192,HAT-P-33,b,0.92,1.85
193,HAT-P-34,b,7.01,1.35
194,HAT-P-35,b,7.52,3.55
195,HAT-P-36,b,1.53,1.15
196,HAT-P-37,b,1.169,1.178
197,HAT-P-38,b,0.267,0.825
198,HAT-P-39,b,0.599,1.571
199,HAT-P-4,b,0.671,1.274
200,HAT-P-40,b,0.48,1.52
201,HAT-P-41,b,1.19,2.05
202,HAT-P-42,b,1.044,1.28
203,HAT-P-43,b,0.662,1.281
204,HAT-P-44,b,0.352,1.242
206,HAT-P-45,b,0.892,1.426
207,HAT-P-46,b,0.493,1.284
208,HAT-P-49,b,2.2,1.59
209,HAT-P-5,b,0.98,1.21
210,HAT-P-50,b,1.35,1.288
211,HAT-P-51,b,0.309,1.293
212,HAT-P-52,b,0.818,1.009
213,HAT-P-53,b,1.484,1.318
214,HAT-P-54,b,0.76,0.944
215,HAT-P-55,b,0.582,1.182
216,HAT-P-56,b,2.31,1.51
217,HAT-P-57,b,1.41,1.74
218,HAT-P-6,b,1.32,1.48
219,HAT-P-65,b,0.527,1.89
220,HAT-P-66,b,0.783,1.59
221,HAT-P-67,b,0.34,2.085
222,HAT-P-7,b,1.84,1.51
223,HAT-P-8,b,1.28,1.4
224,HAT-P-9,b,0.78,1.4
225,HATS-1,b,1.855,1.302
226,HATS-10,b,0.526,0.969
227,HATS-11,b,0.83,1.487
228,HATS-12,b,2.39,1.384
229,HATS-13,b,0.543,1.212
230,HATS-14,b,1.071,1.039
231,HATS-15,b,2.17,1.105
232,HATS-16,b,3.27,1.3
233,HATS-17,b,1.338,0.777
234,HATS-18,b,1.98,1.337
235,HATS-2,b,1.345,1.168
236,HATS-22,b,2.74,0.953
237,HATS-23,b,1.47,1.86
238,HATS-24,b,2.44,1.487
239,HATS-25,b,0.613,1.26
240,HATS-26,b,0.65,1.75
241,HATS-27,b,0.53,1.5
242,HATS-28,b,0.672,1.194
243,HATS-29,b,0.653,1.251
244,HATS-3,b,0.55,0.99
245,HATS-30,b,0.706,1.175
246,HATS-31,b,0.88,1.64
247,HATS-32,b,0.92,1.249
248,HATS-33,b,1.192,1.23
249,HATS-34,b,0.941,1.43
250,HATS-35,b,1.222,1.464
251,HATS-36,b,3.216,1.235
252,HATS-39,b,0.63,1.57
253,HATS-4,b,1.323,1.02
254,HATS-40,b,1.59,1.58
255,HATS-41,b,9.7,1.33
256,HATS-42,b,1.88,1.4
257,HATS-43,b,0.261,1.18
258,HATS-44,b,0.56,1.067
259,HATS-45,b,0.7,1.286
260,HATS-46,b,0.173,0.903
261,HATS-5,b,0.237,0.912
262,HATS-50,b,0.39,1.13
263,HATS-51,b,0.768,1.41
264,HATS-52,b,2.24,1.382
265,HATS-53,b,0.595,1.34
266,HATS-6,b,0.319,0.998
267,HATS-7,b,0.12,0.563
268,HATS-8,b,0.138,0.873
269,HATS-9,b,0.816,1.172
391,HD 149026,b,0.38,0.74
446,HD 17156,b,3.51,1.1
475,HD 189733,b,1.13,1.13
512,HD 209458,b,0.73,1.39
534,HD 219134,b,0.01491,0.143
535,HD 219134,c,0.01372,0.135
536,HD 219134,d,0.05088,0.144
537,HD 219134,f,0.02297,0.117
586,HD 3167,b,0.01579,0.152
587,HD 3167,c,0.03083,0.269
700,HD 80606,b,4.38,1.07
720,HD 89345,b,0.11232,0.612
735,HD 97658,b,0.03,0.21
745,HIP 116454,b,0.04,0.22
763,HIP 65426,b,9,1.5
776,HN Peg,b,21.9987,1.051
777,HR 2562,b,30,1.11
779,HR 8799,b,7,1.2
780,HR 8799,c,10,1.2
781,HR 8799,d,10,1.2
783,K2-10,b,0.08495,0.343
788,K2-105,b,0.09439,0.369
789,K2-107,b,0.84,1.44
790,K2-108,b,0.18689,0.471
792,K2-110,b,0.05254,0.231
793,K2-111,b,0.02706,0.17
794,K2-113,b,1.29,0.93
795,K2-114,b,1.85,0.942
796,K2-115,b,0.84,1.115
815,K2-131,b,0.02045,0.161
816,K2-132,b,0.49,1.3
823,K2-137,b,0.5,0.079
829,K2-139,b,0.387,0.808
831,K2-140,b,1.019,1.095
832,K2-141,b,0.01598,0.135
833,K2-141,c,0.02328,0.624
847,K2-155,b,0.01479,0.161
848,K2-155,c,0.02045,0.232
849,K2-155,d,0.01542,0.17
881,K2-18,b,0.02504,0.212
941,K2-22,b,1.4,0.223
952,K2-229,b,0.00815,0.104
953,K2-229,c,0.06702,0.189
956,K2-232,b,0.398,1
964,K2-27,b,0.09722,0.4
966,K2-29,b,0.73,1.19
970,K2-30,b,0.579,1.039
971,K2-31,b,1.774,1.06
972,K2-32,b,0.05191,0.458
973,K2-32,c,0.03807,0.269
974,K2-32,d,0.03241,0.306
975,K2-33,b,3.7,0.45
976,K2-34,b,1.11,1.07
984,K2-38,b,0.06,0.17
985,K2-38,c,0.03115,0.216
986,K2-39,b,0.09,0.56
1010,K2-60,b,0.426,0.683
1017,K2-66,b,0.06702,0.222
1031,K2-77,b,1.9,0.205
1052,K2-95,b,0.03458,0.31
1053,K2-97,b,1.1,1.31
1054,K2-98,b,0.10131,0.384
1055,K2-99,b,0.97,1.29
1056,KELT-1,b,27.23,1.11
1057,KELT-10,b,0.679,1.399
1058,KELT-11,b,0.195,1.37
1059,KELT-12,b,0.95,1.78
