loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbeccen
1,11 Com,b,326.03,0.231
2,11 UMi,b,516.21997,0.08
3,14 And,b,185.84,0
4,14 Her,b,1773.40002,0.37
5,16 Cyg B,b,798.5,0.68
6,18 Del,b,993.3,0.08
8,24 Boo,b,30.3506,0.042
9,24 Sex,b,452.8,0.09
10,24 Sex,c,883,0.29
16,2MASS J21402931+1625183 A,b,7336.5,0.26
18,30 Ari B,b,335.10001,0.29
19,4 UMa,b,269.3,0.432
20,42 Dra,b,479.1,0.38
21,47 UMa,b,1078,0.032
22,47 UMa,c,2391,0.098
23,47 UMa,d,14002,0.16
25,51 Peg,b,4.230785,0.013
26,55 Cnc,b,14.65152,0.0034
27,55 Cnc,c,44.4175,0.02
28,55 Cnc,d,4825,0.019
30,55 Cnc,f,262,0.305
31,6 Lyn,b,874.774,0.125
32,61 Vir,b,4.215,0.12
33,61 Vir,c,38.021,0.14
34,61 Vir,d,123.01,0.35
35,7 CMa,b,796,0.22
36,70 Vir,b,116.6884,0.4
37,75 Cet,b,691.9,0.117
38,8 UMi,b,93.4,0.06
39,81 Cet,b,952.7,0.206
40,91 Aqr,b,181.4,0.027
42,BD+03 2562,b,481.9,0.2
43,BD+14 4559,b,268.94,0.29
44,BD+15 2375,b,153.22,0.001
45,BD+15 2940,b,137.48,0.26
46,BD+20 2457,b,379.63,0.15
47,BD+20 2457,c,621.99,0.18
48,BD+20 274,b,578.2,0.21
49,BD+20 594,b,41.6855,0
50,BD+48 738,b,392.6,0.2
51,BD+48 740,b,733,0.76
52,BD+49 828,b,2590,0.35
53,BD-06 1339,b,3.8728,0
54,BD-06 1339,c,125.94,0.31
55,BD-08 2823,b,5.6,0.15
56,BD-08 2823,c,237.6,0.19
57,BD-10 3166,b,3.48777,0.02
58,BD-11 4672,b,1667,0.05
59,BD-13 2130,b,714.29999,0.21
60,BD-17 63,b,655.59998,0.54
64,CoRoT-1,b,1.5089557,0
65,CoRoT-10,b,13.2406,0.53
66,CoRoT-11,b,2.99433,0
67,CoRoT-12,b,2.828042,0.07
68,CoRoT-13,b,4.03519,0
