loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax
1,11 Com,b,326.03,1.29
2,11 UMi,b,516.21997,1.53
3,14 And,b,185.84,0.83
4,14 Her,b,1773.40002,2.93
5,16 Cyg B,b,798.5,1.66
6,18 Del,b,993.3,2.6
8,24 Boo,b,30.3506,0.19
9,24 Sex,b,452.8,1.333
10,24 Sex,c,883,2.08
15,2MASS J19383260+4603591,b,416,0.92
18,30 Ari B,b,335.10001,0.99
19,4 UMa,b,269.3,0.87
20,42 Dra,b,479.1,1.19
21,47 UMa,b,1078,2.1
22,47 UMa,c,2391,3.6
23,47 UMa,d,14002,11.6
25,51 Peg,b,4.230785,0.0527
26,55 Cnc,b,14.65152,0.115227
27,55 Cnc,c,44.4175,0.241376
28,55 Cnc,d,4825,5.503
29,55 Cnc,e,0.736539,0.01544
30,55 Cnc,f,262,0.788
31,6 Lyn,b,874.774,2.18
32,61 Vir,b,4.215,0.050201
33,61 Vir,c,38.021,0.2175
34,61 Vir,d,123.01,0.476
35,7 CMa,b,796,1.93
36,70 Vir,b,116.6884,0.48
37,75 Cet,b,691.9,2.1
38,8 UMi,b,93.4,0.49
39,81 Cet,b,952.7,2.5
40,91 Aqr,b,181.4,0.7
42,BD+03 2562,b,481.9,1.3
43,BD+14 4559,b,268.94,0.78
44,BD+15 2375,b,153.22,0.576
45,BD+15 2940,b,137.48,0.539
46,BD+20 2457,b,379.63,1.05
47,BD+20 2457,c,621.99,2.01
48,BD+20 274,b,578.2,1.3
50,BD+48 738,b,392.6,1
51,BD+48 740,b,733,1.7
52,BD+49 828,b,2590,4.2
53,BD-06 1339,b,3.8728,0.0428
54,BD-06 1339,c,125.94,0.435
55,BD-08 2823,b,5.6,0.06
56,BD-08 2823,c,237.6,0.68
57,BD-10 3166,b,3.48777,0.04
58,BD-11 4672,b,1667,2.28
59,BD-13 2130,b,714.29999,1.66
60,BD-17 63,b,655.59998,1.34
61,CFBDSIR J145829+101343,b,10037.5,2.6
65,CoRoT-10,b,13.2406,0.1055
66,CoRoT-11,b,2.99433,0.0436
67,CoRoT-12,b,2.828042,0.04016
68,CoRoT-13,b,4.03519,0.051
69,CoRoT-14,b,1.51214,0.027
70,CoRoT-16,b,5.35227,0.0618
71,CoRoT-17,b,3.7681,0.0461
72,CoRoT-18,b,1.9000693,0.0295
73,CoRoT-19,b,3.89713,0.0518
74,CoRoT-2,b,1.7429935,0.02798
75,CoRoT-20,b,9.24285,0.0902
76,CoRoT-22,b,9.75598,0.092
77,CoRoT-23,b,3.6313,0.048
78,CoRoT-24,b,5.1134,0.056
79,CoRoT-24,c,11.759,0.098
80,CoRoT-25,b,4.86069,0.0578
81,CoRoT-26,b,4.20474,0.0526
82,CoRoT-27,b,3.57532,0.0476
83,CoRoT-28,b,5.20851,0.0603
84,CoRoT-29,b,2.85057,0.0386
